Name;Artikelnummer;QR-/Barcode;Kategorie;Einheit;Bestand;Mindestbestand;Lagerort;Lieferant;Notiz
"Vollgewindeschraube Senkkopf 10mm TX50 (10,0 x 120 mm)";"70041-100120";"70041-100120";"Befestigungsmittel";"Stk";"100";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Tellerkopfschraube fuer Daemmplatten Edelstahl A2 TX (6,0 x 80 mm)";"75000-A2-6080";"75000-A2-6080";"Befestigungsmittel";"Stk";"500";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Ankerbolzen / Blitzanker M2 kleine Scheibe verzinkt (10,0 x 95 mm)";"70089-10095";"70089-10095";"Befestigungsmittel";"Stk";"300";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Ankerbolzen / Blitzanker M2 kleine Scheibe verzinkt (12,0 x 220 mm)";"70089-120220";"70089-120220";"Befestigungsmittel";"Stk";"100";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Schraubanker Betonschraube WICOAT Sechskantkopf mit Scheibe (10,5 x 90 mm)";"70090-10590";"70090-10590";"Befestigungsmittel";"Stk";"150";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Stauchkopfnaegel BGN Verzinkt (40 mm)";"BGN-40";"BGN-40";"Befestigungsmittel";"Stk";"10000";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Nagelrollen Coilnaegel Drahtgebunden 16 Grad Ring Blank (2,8 x 42 mm)";"C16R-2842";"C16R-2842";"Befestigungsmittel";"Stk";"9000";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Nagelrollen Coilnaegel Drahtgebunden 16 Grad Ring Blank (2,8 x 70 mm)";"C16R-2870";"C16R-2870";"Befestigungsmittel";"Stk";"30000";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Nagelstreifen Papier Ring Blank 34 Grad (2,8 x 70 mm)";"NP34R-2870";"NP34R-2870";"Befestigungsmittel";"Stk";"20000";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Klammern KB7 Verzinkt, ETA 18/0879 (44 mm)";"KB7-44";"KB7-44";"Befestigungsmittel";"Stk";"10000";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Winkelverbinder mit Rippe (105 x 105 x 90 x 3,0 mm)";"WVR-105105";"WVR-105105";"Befestigungsmittel";"Stk";"240";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"WITEC FULLCONTACT OUTDOOR 60mm Breit";"19209";"19209";"Material";"Stk";"20";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"WITEC FULLCONTACT FC60 Luftdicht Klebeband fuer Innen und Aussen";"19201";"19201";"Material";"Stk";"20";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"WITEC FULLCONTACT KLEBT UND DICHTET";"19224";"19224";"Material";"Stk";"12";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Fullcontact Dicht Kleber Flex, Innen- und Aussen";"19207";"19207";"Material";"Stk";"12";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"WI300 Injektionsmoertel";"70162";"70162";"Material";"Stk";"15";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"WITEC Fassadenbahn Superwall X, dauerhaft UV-stabil, 200 Gramm, 2 Klebestreifen";"19401";"19401";"Material";"m2";"300";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"WITEC Allweather Unlimited Unterdeckbahn 350 Gramm, erhoehte Regensicherheit, 1,5 x 25 Meter, 2 Klebestreifen";"19105";"19105";"Material";"m2";"75";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"WITEC ALL WEATHER S Unterdeckbahn 340 Gramm, erhoehte Regensicherheit, 1,5 x 25 m, 2 Acrylklebestreifen";"19109";"19109";"Material";"m2";"75";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"WITEC SEAL Bitumenbahn Dampfsperre selbstklebend";"19110";"19110";"Material";"m2";"50";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Abdeckplane PRO, 180 Gramm, 10 x 12 Meter";"19703";"19703";"Material";"Stk";"2";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Steico Zell Holzfaser Daemmung zum Einblasen";"22001";"22001";"Material";"Stk";"1110";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Kompressor BeA KV350-15, 230 Volt";"50030";"50030";"Werkzeug";"Stk";"1";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Ersatzteil Bohrfutter NEU zu M18FPD2 und M18FPD3";"4932478806";"4932478806";"Werkzeug";"Stk";"2";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
